,id,CodigoAtivo,DataFechametno,ValorFechamento
0,0,AAPL,2024-12-11 00:00:00-05:00,246.49000549316406
1,1,NVDA,2024-12-11 00:00:00-05:00,139.30999755859375
2,2,MSFT,2024-12-11 00:00:00-05:00,448.989990234375
3,3,AMZN,2024-12-11 00:00:00-05:00,230.25999450683594
4,4,META,2024-12-11 00:00:00-05:00,632.6799926757812
5,5,AVGO,2024-12-11 00:00:00-05:00,183.1999969482422
6,6,TSLA,2024-12-11 00:00:00-05:00,424.7699890136719
7,7,COST,2024-12-11 00:00:00-05:00,994.6900024414062
8,8,NFLX,2024-12-11 00:00:00-05:00,936.5599975585938
9,9,GOOGL,2024-12-11 00:00:00-05:00,195.39999389648438
10,10,GOOG,2024-12-11 00:00:00-05:00,196.7100067138672
11,11,TMUS,2024-12-11 00:00:00-05:00,234.33999633789062
12,12,ADBE,2024-12-11 00:00:00-05:00,549.9299926757812
